external_id,title,description,instructor,price,duration_hours,language,difficulty_level,num_students,published_at,platform,category
C00001,Data Science: Analysis (2023-01),"Curso de Data Science enfocado en data, pandas, python. Nivel avanzado.",J. Smith,89.99,40,es,avanzado,14667,2023-01-18,Coursera,Data Science
C00002,Data Science: Statistics (2023-01),"Curso de Data Science enfocado en python, pandas, statistics. Nivel principiante.",L. Chen,49.99,30,es,avanzado,484,2023-01-18,Coursera,Data Science
C00003,Data Science: Pandas (2023-01),"Curso de Data Science enfocado en statistics, data, pandas. Nivel avanzado.",R. Kumar,89.99,4,en,principiante,11488,2023-01-14,edX,Data Science
C00004,Data Science: Data (2023-01),"Curso de Data Science enfocado en data, analysis, python. Nivel principiante.",C. Rossi,19.99,4,en,intermedio,13935,2023-01-12,Udemy,Data Science
C00005,Data Science: Python (2023-01),"Curso de Data Science enfocado en statistics, python, data. Nivel principiante.",R. Kumar,19.99,40,pt,avanzado,14557,2023-01-28,FutureLearn,Data Science
C00006,Data Science: Data (2023-01),"Curso de Data Science enfocado en python, pandas, analysis. Nivel principiante.",R. Kumar,49.99,4,en,principiante,14246,2023-01-04,Udemy,Data Science
C00007,Machine Learning: Neural (2023-01),"Curso de Machine Learning enfocado en models, neural, ai. Nivel principiante.",R. Kumar,89.99,40,en,avanzado,10667,2023-01-03,MITx,Machine Learning
C00008,Machine Learning: Models (2023-01),"Curso de Machine Learning enfocado en ai, models, machine learning. Nivel intermedio.",C. Rossi,89.99,12,pt,avanzado,11324,2023-01-18,FutureLearn,Machine Learning
C00009,Machine Learning: Neural (2023-01),"Curso de Machine Learning enfocado en machine learning, models, ai. Nivel intermedio.",C. Rossi,89.99,12,en,principiante,3506,2023-01-19,edX,Machine Learning
C00010,Machine Learning: Deep (2023-01),"Curso de Machine Learning enfocado en deep, ai, machine learning. Nivel intermedio.",M. García,0,8,en,avanzado,9247,2023-01-18,Udemy,Machine Learning
